class_output_accuracy,class_output_loss,loss,reg_output_loss,reg_output_mse,val_class_output_accuracy,val_class_output_loss,val_loss,val_reg_output_loss,val_reg_output_mse,learning_rate
0.5800109505653381,1.1025158166885376,1.4382216930389404,3.295945644378662,3.2967207431793213,0.6759844422340393,0.7860898375511169,0.8534032702445984,1.1844820976257324,1.1886436939239502,9.999999747378752e-05
0.6526680588722229,0.8173049092292786,1.030381679534912,2.196180582046509,2.1967949867248535,0.7148760557174683,0.6697015762329102,0.7226002216339111,0.9730550050735474,0.9773335456848145,9.999999747378752e-05
0.678132951259613,0.7299944162368774,0.8854705095291138,1.7281256914138794,1.7274259328842163,0.7369956374168396,0.6333023905754089,0.6799871325492859,0.8946443796157837,0.8990674614906311,9.999999747378752e-05
0.6996170878410339,0.6860326528549194,0.8056002259254456,1.4452614784240723,1.4458537101745605,0.7352941036224365,0.6288610696792603,0.6694387197494507,0.8500962257385254,0.8545065522193909,9.999999747378752e-05
0.7133219838142395,0.6515681743621826,0.7486669421195984,1.2570667266845703,1.2577707767486572,0.751579999923706,0.6034377813339233,0.6427353620529175,0.8153789639472961,0.8197199702262878,9.999999747378752e-05
0.7190045118331909,0.6292680501937866,0.7068510055541992,1.1090999841690063,1.1087361574172974,0.7557122111320496,0.5865182280540466,0.6223092079162598,0.7759544849395752,0.7802990674972534,9.999999747378752e-05
0.7273003458976746,0.6073017120361328,0.6713346242904663,0.9926844239234924,0.992998480796814,0.7659212350845337,0.5692614316940308,0.6037635207176208,0.7498636245727539,0.7541502714157104,9.999999747378752e-05
0.7332867383956909,0.5956475138664246,0.6473081111907959,0.9042477607727051,0.9044888615608215,0.7744287848472595,0.5475454330444336,0.5818690657615662,0.7269645929336548,0.731302797794342,9.999999747378752e-05
0.74410480260849,0.577305018901825,0.6244797706604004,0.8518091440200806,0.8525635004043579,0.7729703187942505,0.5467463731765747,0.5783817172050476,0.7091060280799866,0.7133492231369019,9.999999747378752e-05
0.7465965747833252,0.5639902353286743,0.6059665083885193,0.8049154281616211,0.8037912845611572,0.7773456573486328,0.5346925258636475,0.5677288770675659,0.7055684328079224,0.7098655104637146,9.999999747378752e-05
0.75589519739151,0.5524243116378784,0.5911909937858582,0.7715970277786255,0.7717581391334534,0.7848808765411377,0.5193549990653992,0.5538833141326904,0.6981328129768372,0.7024317383766174,9.999999747378752e-05
0.7585693597793579,0.5453452467918396,0.5821004509925842,0.7522565126419067,0.7523689866065979,0.787797749042511,0.5113661289215088,0.546133279800415,0.6932650804519653,0.6974741220474243,9.999999747378752e-05
0.7607876658439636,0.5366173386573792,0.5717398524284363,0.7336395382881165,0.7324471473693848,0.789013147354126,0.5144039392471313,0.5479426980018616,0.6879833936691284,0.692261278629303,9.999999747378752e-05
