,precision,recall,f1-score,support
CANDIDATE,0.8883994126284875,0.7121836374337845,0.7905913100294022,1699.0
CONFIRMED,0.8868274582560297,0.8320278503046127,0.8585541086663673,1149.0
FALSE POSITIVE,0.6845878136200717,0.9052132701421801,0.7795918367346939,1266.0
accuracy,0.8050559066601848,0.8050559066601848,0.8050559066601848,0.8050559066601848
macro avg,0.8199382281681964,0.8164749192935258,0.8095790851434878,4114.0
weighted avg,0.825241498209769,0.8050559066601848,0.8061877909343055,4114.0
