,precision,recall,f1-score,support
CANDIDATE,0.6038159371492705,0.316656856974691,0.41544401544401544,1699.0
CONFIRMED,0.489504617968094,0.5073977371627503,0.4982905982905983,1149.0
FALSE POSITIVE,0.5329724409448819,0.8554502369668247,0.6567616737416616,1266.0
accuracy,0.5357316480311133,0.5357316480311133,0.5357316480311133,0.5357316480311133
macro avg,0.5420976653540822,0.559834943701422,0.5234987624920918,4114.0
weighted avg,0.5500892546179318,0.5357316480311133,0.5128428679222711,4114.0
