class_output_accuracy,class_output_loss,loss,reg_output_loss,reg_output_mae,reg_output_mse,val_class_output_accuracy,val_class_output_loss,val_loss,val_reg_output_loss,val_reg_output_mae,val_reg_output_mse,learning_rate
0.6445830464363098,0.75716233253479,0.8362048268318176,1.020957112312317,0.6991130113601685,1.0215418338775635,0.7459433078765869,0.5007031559944153,0.525026261806488,0.5971673727035522,0.5316978096961975,0.5971078872680664,9.999999747378752e-05
0.7633985280990601,0.5162093043327332,0.5480275750160217,0.6235000491142273,0.5426636934280396,0.6237753033638,0.8198111057281494,0.43323662877082825,0.4250442087650299,0.4030444025993347,0.41266724467277527,0.4037746787071228,9.999999747378752e-05
0.7907708883285522,0.45476284623146057,0.47382843494415283,0.5210281014442444,0.48793885111808777,0.5207989811897278,0.8190845251083374,0.4142416715621948,0.39237573742866516,0.33906328678131104,0.3910321891307831,0.33942103385925293,9.999999747378752e-05
0.8036092519760132,0.42449936270713806,0.43738609552383423,0.4695384204387665,0.45560887455940247,0.4700028598308563,0.8401550054550171,0.41368111968040466,0.385978639125824,0.3170364201068878,0.36017730832099915,0.3183675706386566,9.999999747378752e-05
0.8169321417808533,0.4049460291862488,0.4144652783870697,0.43864506483078003,0.43388471007347107,0.4390678107738495,0.834584653377533,0.36242467164993286,0.3399432599544525,0.28681236505508423,0.32109397649765015,0.2877903878688812,9.999999747378752e-05
0.8235935568809509,0.3857521116733551,0.39396288990974426,0.4147866666316986,0.4151504337787628,0.4147864580154419,0.8462097644805908,0.34391525387763977,0.3257580101490021,0.2821228802204132,0.3215290606021881,0.2832540273666382,9.999999747378752e-05
0.8337673544883728,0.38149839639663696,0.3838053047657013,0.3939761817455292,0.39860841631889343,0.3940946161746979,0.7641075253486633,0.5052434206008911,0.4448898732662201,0.2952177822589874,0.3496372401714325,0.29715511202812195,9.999999747378752e-05
0.8415188193321228,0.35900604724884033,0.36218181252479553,0.3721581697463989,0.386806845664978,0.3715948760509491,0.8391862511634827,0.3410497307777405,0.3216065764427185,0.27264484763145447,0.33072787523269653,0.2740527093410492,9.999999747378752e-05
0.8460606932640076,0.34627076983451843,0.3496899902820587,0.36383989453315735,0.37692025303840637,0.36044323444366455,0.855170726776123,0.35518208146095276,0.3378139138221741,0.29067903757095337,0.2942737936973572,0.2927286922931671,9.999999747378752e-05
0.8519954085350037,0.336437463760376,0.33758509159088135,0.34658336639404297,0.36670568585395813,0.3469221591949463,0.8561394810676575,0.30927807092666626,0.30446717143058777,0.28714630007743835,0.2977815270423889,0.289186030626297,9.999999747378752e-05
0.8634409308433533,0.32146134972572327,0.32459378242492676,0.3393755853176117,0.35970646142959595,0.3386790454387665,0.8573504686355591,0.324429988861084,0.30481040477752686,0.25417470932006836,0.30126282572746277,0.25569501519203186,9.999999747378752e-05
0.8599891066551208,0.32116085290908813,0.32284536957740784,0.3293151557445526,0.3518851697444916,0.32882097363471985,0.8808428049087524,0.26245900988578796,0.26786544919013977,0.2752072811126709,0.26298436522483826,0.277221143245697,9.999999747378752e-05
0.861442506313324,0.3152673840522766,0.3153480887413025,0.3235946595668793,0.34327808022499084,0.32295942306518555,0.8743036985397339,0.2701788544654846,0.29667243361473083,0.35234948992729187,0.24463355541229248,0.35495588183403015,9.999999747378752e-05
0.8659843802452087,0.3040196895599365,0.3061801493167877,0.31427931785583496,0.33965328335762024,0.3131130039691925,0.751513659954071,0.6324844360351562,0.5464097857475281,0.33326318860054016,0.2701621949672699,0.33572110533714294,9.999999747378752e-05
0.8710712790489197,0.2970198094844818,0.300402969121933,0.30980250239372253,0.33469685912132263,0.31017640233039856,0.8822959661483765,0.27173280715942383,0.2846441864967346,0.3096860945224762,0.27214115858078003,0.3118925988674164,9.999999747378752e-05
0.8758553862571716,0.2955949604511261,0.2943898141384125,0.29895538091659546,0.32752788066864014,0.2992323637008667,0.8924679160118103,0.24599091708660126,0.26138031482696533,0.2922922968864441,0.25093206763267517,0.2943935990333557,9.999999747378752e-05
0.8778538107872009,0.287179559469223,0.2884540259838104,0.294938862323761,0.3226359188556671,0.2946654260158539,0.8980382680892944,0.2351437360048294,0.25294050574302673,0.2892608046531677,0.24509119987487793,0.29137492179870605,9.999999747378752e-05
0.8798522353172302,0.2801680862903595,0.2813723087310791,0.28782519698143005,0.31767159700393677,0.28739047050476074,0.8890772461891174,0.2616451382637024,0.2805165648460388,0.3186340034008026,0.2625376582145691,0.32086965441703796,9.999999747378752e-05
0.8788227438926697,0.2833906412124634,0.2826903462409973,0.2874656915664673,0.317355751991272,0.28422316908836365,0.8268345594406128,0.4465891420841217,0.426472008228302,0.37442195415496826,0.27522459626197815,0.3761712908744812,9.999999747378752e-05
0.8797311186790466,0.27539756894111633,0.2781051695346832,0.28669214248657227,0.3146628141403198,0.28646746277809143,0.9055461287498474,0.23176029324531555,0.23166728019714355,0.22657333314418793,0.25485488772392273,0.22813564538955688,9.999999747378752e-05
0.8812450766563416,0.2743852436542511,0.27294349670410156,0.27824273705482483,0.31008321046829224,0.27752062678337097,0.8975538611412048,0.25219133496284485,0.2927909195423126,0.3814481198787689,0.2354927361011505,0.3839815855026245,9.999999747378752e-05
0.8835462927818298,0.2669253647327423,0.2664238214492798,0.2709135413169861,0.3084881007671356,0.27078884840011597,0.8927100896835327,0.2810460329055786,0.32637453079223633,0.4256227910518646,0.23420806229114532,0.42813536524772644,9.999999747378752e-05
